speaker_name,position,logo_url,extracted_company_name
Cody Murtle,"Senior Director, Capture Management and Augmented Reality Lead",https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Amentum.png,Amentum.png
Tommy Kopec,Medical Education Senior Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Zimmer-Biomet.png,2024 Zimmer Biomet.png
Tim Biery,Sr. Curriculum Designer & Trainer (e-Learning),https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-niagra.png,2024 niagra.png
Lorna Jean Marcuzzo,3D Product Visualization Strategy Lead,https://augmentedenterprisesummit.com/wp-content/uploads/2022/09/MILLERKNOLL-AES-2022.png,MILLERKNOLL AES 2022.png
Paul Davies,Technical Fellow - Immersive Technologies,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Brent Dingle,Systems Architect and Consultant for Advanced Visualization,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/RTX-2024-.png,RTX
Colleen Tully,"Sr Program Manager, Learning Technology Innovation",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/MEDTRONIC-AES-2022.png,MEDTRONIC AES 2022.png
David Doan,End User Workplace Technology Strategist,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/Genetech-Inc-2024.png,Genetech Inc
Michal Wojtak,Director of Integrated Construction,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/2023-MORTENSON2.png,2023 MORTENSON2.png
Greg Gallimore,Digital Experience Design Leader,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/Gensler-Logo.png,Gensler Logo.png
Barry Prewitt,Design Services Process Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Stryker.png,2024 Stryker.png
Melissa Demsky,"Vice President of Technical and Performance, Strategy & Implementation",https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Veolia.png,Veolia.png
Hameed Madwar,Innovation Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BRIDGESTONE-AES-2022-1.png,BRIDGESTONE AES 2022 1.png
Michael Hayat,Sr. Project Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2022/04/NORTHROP-GRUMMAN-AES-2022.png,NORTHROP GRUMMAN AES 2022.png
Nicholas Castillo,"Immersive Design Center Engagement Lead, Laser Scanning SME, Visual Artist & 3D Guru",https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/RTX-2024-.png,RTX
Ed Moore,Enterprise Architecture and Strategy Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/CHEVRON-AES-2022.png,CHEVRON AES 2022.png
Guy Messick,"Senior Director, Digital Technologies",https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/ia-architechts-2024.png,ia architechts
Trent Randles,Engineering & Operational Excellence Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-BorgWarner.png,2024 BorgWarner.png
Kenneth Coulter,Visualization + Interactive Design Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/HDR-2024.png,HDR
Murphy Ownbey,Spatial Technologies Product Lead,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-Koch-Industries.png,2024 Koch Industries.png
Isaac Jones,Full Stack Engineer,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/LOCKHEED-MARTIN-AES-2022.png,LOCKHEED MARTIN AES 2022.png
Brian Laughlin,"Technical Fellow/ Systems Engineer- Digital Transformation / New Airplane Program, Research and Technology",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Benjamin C. Thompson,Visualization Projects | Advanced Virtual Manufacturing | Boeing Defense & Space,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Dustin Sleight,Systems Engineering Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/AES-2024-WEBSITE-SPKRSPEX-IMAGELOGO-TEMPLATE.png,AES
Hugh Soward,Innovation Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/OPN-Architects.png,OPN Architects.png
Victoria Korzhova,Research Scientist,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/AstraZeneca-2023.png,AstraZeneca 2023.png
Sana Naveed,IT Project Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/AstraZeneca-2023.png,AstraZeneca 2023.png
Adam Berg,Manager of Learning Solutions,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/TechnicFMC-2023.png,TechnicFMC 2023.png
Jean-Baptiste Farge,Global XR Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2022/03/SUBSEA-7-AES-2022.png,SUBSEA 7 AES 2022.png
Nethra Ram Mohan,Firmwide Visualization and Immersive Experiences Leader,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-hks.png,2024 hks.png
Osman Koc,Creative Technologist,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/Gensler-Logo.png,Gensler Logo.png
Allison Flavin,Life Sciences Digital Delivery XR Lead,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/JACOBS-AES-2022.png,JACOBS AES 2022.png
Tim Van Alstine,Special Projects Lead,https://augmentedenterprisesummit.com/wp-content/uploads/2023/09/2023-i3.png,2023 i3.png
Andrew Garney,"Head of B2B Customer Growth, Americas",https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/2023-META.png,2023 META.png
Jake Hamann,President & CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-ENTEVATE.png,2024 ENTEVATE.png
Thaisa Yamamura,Head of XR Business Development,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/Sony.png,Sony.png
Manuel Fradinho Oliveira,CEO and Co-Founder,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-KIT-AR.png,2024 KIT AR.png
Brad Scoggin,CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/2023-ARBORXR-SPEX.png,2023 ARBORXR SPEX.png
Itzhak Pichadze,CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/frontline-2024.png,frontline
Elizabeth Heyman,Chief Executive Officer,https://augmentedenterprisesummit.com/wp-content/uploads/2023/08/2023-xr-association.png,2023 xr association.png
Hadi Nsouli,Sr Business Development Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/2024-TMOBILE-logo.png,2024 TMOBILE logo.png
Mark Sage,Executive Director,https://augmentedenterprisesummit.com/wp-content/uploads/2022/07/AES-2022-AREA.png,AES 2022 AREA.png
Dmitri Bagh,Technical Specialist,https://augmentedenterprisesummit.com/wp-content/uploads/2023/05/Safe-Software-2023.png,Safe Software 2023.png
Don Murray,CEO - Co-Founder,https://augmentedenterprisesummit.com/wp-content/uploads/2023/05/Safe-Software-2023.png,Safe Software 2023.png
Randy Nunez,Extended Reality Specialist,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-Nunez-Consulting.png,2024 Nunez Consulting.png
Ashley Cowder,CEO/Co-Founder,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-VNTANA-LOGO-Blue.png,2024 VNTANA LOGO Blue.png
Annie Eaton,Chief Executive Officer,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-FUTURS-1.png,2024 FUTURS 1.png
Kristen Naeini,US Head of Sales,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/RealWear.png,RealWear.png
Jay Wright,CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2023/10/Campfire.png,Campfire.png
Patrick Candela,"CEO, Co-founder",https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-Reulay-Black-Logo.png,2024 Reulay Black Logo.png
Troy Wood,"Executive Director, Global Partner Marketing",https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/VIVE.png,VIVE.png
Adrian Hatch,Chief Operating Officer,https://augmentedenterprisesummit.com/wp-content/uploads/2023/08/Sitelink-2023.png,Sitelink 2023.png
Sean McCoy,Solutions Manager - IoT,https://augmentedenterprisesummit.com/wp-content/uploads/2022/10/CBT-AES-2022.png,CBT AES 2022.png
Krissa Watry,Co-Founder & CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-Dynepic.png,2024 Dynepic.png
Matias Koski,CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2024/06/2024-Immersal.png,2024 Immersal.png
Shelley Peterson,President,https://augmentedenterprisesummit.com/wp-content/uploads/2022/10/BRAINXCHANGE-AES-2022.png,BRAINXCHANGE AES 2022.png
Susanne Haspinger,Co-founder and COO,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/Hololight.png,Hololight.png
Justin Mullin,Vice President Of Business Development,https://augmentedenterprisesummit.com/wp-content/uploads/2022/09/FROM-THE-FUTURE-AES-2022-1.png,FROM THE FUTURE AES 2022 1.png
Lorne Novolker,Vice President Digital Learning,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/Calian-1.png,Calian 1.png
Purnendu Mukherjee,Founder & CEO,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-Convai.png,2024 Convai.png
